timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,event_class,source,risk_level,accel_mag,gyro_mag,jerk,braking_intensity,turn_sharpness,harsh_accel_flag,harsh_brake_flag,harsh_turn_flag,tilt_angle,impact_score
22-3-2023 19:49:2:701972,-1.300998,0.080089,0.078434,-0.034921,-0.016598,0.004578,Safe-no-movement,kaggle,0,1.3058184928545775,0.03893491914721283,0.14417476764921155,0.0,0.004578,0,0,0,-85.07534697754207,0.5772603031807584
22-3-2023 19:49:2:749962,-0.678284,-0.130676,-0.180231,-0.043177,-0.02299,0.005377,Safe-no-movement,kaggle,0,0.7138827739853372,0.04921082765002027,0.5919357188692403,0.130676,0.005377,0,0,0,-71.82965576993941,0.47789707354991307
22-3-2023 19:49:2:797909,-1.118974,-0.29354,-0.228132,-0.038916,-0.01793,0.003513,Safe-no-movement,kaggle,0,1.179115241908101,0.04299164017573649,0.46523246792276385,0.29354,0.003513,0,0,0,-71.62153842348312,0.6241133291927905
22-3-2023 19:49:2:837951,-0.96569,-0.552206,0.394581,-0.03572,-0.015,0.004844,Safe-no-movement,kaggle,0,1.1803316517390356,0.03904334432396897,0.0012164098309346283,0.552206,0.004844,0,0,0,-54.90016822141865,0.48421058694208535
22-3-2023 19:49:2:885924,-1.032752,0.204632,0.030533,-0.039715,-0.03098,-0.001281,Safe-no-movement,kaggle,0,1.0532726204630023,0.05038534098326615,0.12705903127603335,0.0,0.001281,0,0,0,-78.67155991139326,0.47454235986299076
22-3-2023 19:49:2:925940,-0.94653,0.262113,-0.094009,-0.042378,-0.032311,0.000317,Safe-no-movement,kaggle,0,0.9866407440147604,0.05329161373049234,0.06663187644824187,0.0,0.000317,0,0,0,-73.60653082047475,0.43063334465952446
22-3-2023 19:49:2:973929,-0.96569,0.319594,0.519125,-0.035188,-0.038437,0.00085,Safe-no-movement,kaggle,0,1.1420106245394568,0.05211833471054116,0.15536988052469636,0.0,0.00085,0,0,0,-57.736824619553275,0.519050714386354
22-3-2023 19:49:3:21897,-1.147715,-0.322281,0.29878,-0.049569,-0.044296,-0.001814,Safe-no-movement,kaggle,0,1.228976912958905,0.06650196969263392,0.0869662884194482,0.322281,0.001814,0,0,0,-69.04769254151226,0.5376312426171866
22-3-2023 19:49:3:61899,-1.023172,-0.28396,-0.218554,-0.04078,-0.016066,0.001382,Safe-no-movement,kaggle,0,1.0841033502853867,0.043852419317524545,0.14487356267351825,0.28396,0.001382,0,0,0,-70.69907679251374,0.4902591347114676
22-3-2023 19:49:3:109886,-0.410037,-1.021637,0.413742,-0.031459,-0.029914,0.003513,Safe-no-movement,kaggle,0,1.1760335640201771,0.043552924654952856,0.09193021373479038,1.021637,0.003513,0,0,0,-20.405435748250888,0.5110583671249939
22-3-2023 19:49:3:157870,-0.525,0.281274,-0.860428,-0.049569,-0.043763,-0.000748,Safe-no-movement,kaggle,0,1.0464589845091876,0.06612749378284347,0.1295745795109895,0.0,0.000748,0,0,0,-30.111998713245256,0.4772942157918249
22-3-2023 19:49:3:205905,-1.051912,-0.025294,0.317942,-0.044775,-0.045361,-0.002346,Safe-no-movement,kaggle,0,1.09920232784688,0.06378028427343359,0.05274334333769248,0.025294,0.002346,0,0,0,-73.13235569072846,0.4746380194220899
22-3-2023 19:49:3:245853,-0.735765,-0.408503,0.758631,-0.045574,-0.042698,-0.001547,Safe-no-movement,kaggle,0,1.1330250793318744,0.06247000791579908,0.03382275148499425,0.408503,0.001547,0,0,0,-40.49495089357727,0.4820978595529878
22-3-2023 19:49:3:293850,-0.572901,-1.289883,-0.055689,-0.052498,-0.047758,-0.006075,Safe-no-movement,kaggle,0,1.4124853890256706,0.07123041620684242,0.2794603096937962,1.289883,0.006075,0,0,0,-23.928595282660403,0.6702013733804598
22-3-2023 19:49:3:341844,-0.180112,-1.462327,-1.128674,-0.069277,-0.050687,-0.004477,Safe-no-movement,kaggle,0,1.8560025823659296,0.0859564903134138,0.4435171933402591,1.462327,0.004477,0,0,0,-5.568916686435579,0.9012431380424738
22-3-2023 19:49:3:381883,-0.228013,-1.500648,0.116756,-0.065015,-0.0411,-0.005276,Safe-no-movement,kaggle,0,1.5223555141979814,0.07709731772895864,0.3336470681679482,1.500648,0.005276,0,0,0,-8.613971562466151,0.7321655214482647
22-3-2023 19:49:3:429879,-0.228013,-1.376105,-1.502302,-0.087386,-0.033643,-0.010869,Safe-no-movement,kaggle,0,2.050016145887149,0.09426717141189715,0.5276606316891674,1.376105,0.010869,0,0,0,-6.385934971191116,1.006584799285179
22-3-2023 19:49:3:477509,-0.400457,-1.97966,-1.923832,-0.087653,-0.007011,-0.009803,Safe-no-movement,kaggle,0,2.7893635633730143,0.08847768836831124,0.7393474174858654,1.97966,0.009803,0,0,0,-8.254232267902918,1.364092957105459
22-3-2023 19:49:3:516925,0.203097,-2.01798,-2.575287,-0.059423,-0.05628,-0.006874,Safe-no-movement,kaggle,0,3.2780474072499315,0.08213271701946795,0.4886838438769172,2.01798,0.006874,0,0,0,3.552132457949905,1.4824639311688883
22-3-2023 19:49:3:564894,-0.639963,-2.180844,-2.211239,-0.095909,0.015626,-0.011934,Safe-no-movement,kaggle,0,3.1709952867871,0.09790366955839806,0.10705212046283163,2.180844,0.011934,0,0,0,-11.643273795425703,1.329884851721209
22-3-2023 19:49:3:612882,-1.004011,-3.148447,-1.693907,-0.083392,-0.020327,-0.009271,Safe-no-movement,kaggle,0,3.713499363750989,0.0863328676345226,0.5425040769638891,3.148447,0.009271,0,0,0,-15.686159816159451,1.6740508288799194
22-3-2023 19:49:3:660859,-0.342976,-1.893438,-2.786053,-0.081261,-0.014201,-0.008205,Safe-no-movement,kaggle,0,3.385975681429062,0.0828995811026811,0.3275236823219272,1.893438,0.008205,0,0,0,-5.8136382361174865,1.4775172515990072
22-3-2023 19:49:3:700855,-0.50584,-1.280303,-2.029215,-0.092446,0.004974,-0.008472,Safe-no-movement,kaggle,0,2.4520936755421885,0.0929665443909797,0.9338820058868733,1.280303,0.008472,0,0,0,-11.904967434537879,1.2888920353002313
22-3-2023 19:49:3:748853,-0.410037,-2.669436,-1.80887,-0.094577,0.016692,-0.008738,Safe-no-movement,kaggle,0,3.250542966392692,0.0964353899613622,0.7984492908505034,2.669436,0.008738,0,0,0,-7.24683415557409,1.5686825908006365
22-3-2023 19:49:3:796847,-0.371717,-2.01798,-2.65193,-0.091914,0.011365,-0.009537,Safe-no-movement,kaggle,0,3.3530806034733196,0.09310371093570867,0.10253763708062769,2.01798,0.009537,0,0,0,-6.364798328529489,1.3999246457942287
22-3-2023 19:49:3:838766,0.078554,-2.832299,-3.399187,-0.103366,0.029209,-0.010602,Safe-no-movement,kaggle,0,4.425218708412727,0.10793561988982135,1.0721381049394072,2.832299,0.010602,0,0,0,1.0171359591129583,2.1241096008138594
22-3-2023 19:49:3:886761,-0.199272,-2.85146,-3.169262,-0.094044,0.05158,-0.001281,Safe-no-movement,kaggle,0,4.267874773962797,0.10726794160885163,0.1573439344499299,2.85146,0.001281,0,0,0,-2.676179062152224,1.7865334724027533
22-3-2023 19:49:3:926752,-0.247174,-2.477831,-2.862694,-0.098572,0.051313,-0.004211,Safe-no-movement,kaggle,0,3.7941742696498535,0.11120789393743594,0.4737005043129434,2.477831,0.004211,0,0,0,-3.735216769344349,1.6931422273350551
22-3-2023 19:49:3:974745,-0.582481,-2.314968,-2.402843,-0.092713,0.048384,-0.001281,Safe-no-movement,kaggle,0,3.387036379939548,0.1045865803341901,0.4071378897103055,2.314968,0.001281,0,0,0,-9.902590950796865,1.508331892989168
22-3-2023 19:49:4:22744,-1.061493,-1.835956,-0.937069,-0.089251,0.052911,-0.001547,Safe-no-movement,kaggle,0,2.3185340484336217,0.10376756781865902,1.0685023315059263,1.835956,0.001547,0,0,0,-27.247129653540707,1.2790945891708243
22-3-2023 19:49:4:70793,-0.975271,-1.634771,-0.764624,-0.094044,0.05371,-0.009537,Safe-no-movement,kaggle,0,2.0514091759709956,0.10871978847017687,0.26712487246262606,1.634771,0.009537,0,0,0,-28.38638380799656,0.9333170686682392
22-3-2023 19:49:4:110788,-1.176455,-1.730574,0.452065,-0.098572,0.060368,-0.005808,Safe-no-movement,kaggle,0,2.1408632606324955,0.11573446967952115,0.08945408466149996,1.730574,0.005808,0,0,0,-33.33433972532215,0.9179018705553046
22-3-2023 19:49:4:158724,-0.898629,-2.01798,-1.387339,-0.092713,0.06676,-0.002346,Safe-no-movement,kaggle,0,2.6085411365286153,0.11427205119800729,0.46767787589611975,2.01798,0.002346,0,0,0,-20.15096288178271,1.2180014327396842
22-3-2023 19:49:4:206717,-0.611222,-1.855117,-1.205315,-0.096441,0.043324,-0.003145,Safe-no-movement,kaggle,0,2.2951766089340486,0.10577204962559816,0.3133645275945667,1.855117,0.003145,0,0,0,-15.444639852515921,1.043811616739669
22-3-2023 19:49:4:246771,-1.195616,-1.213242,-0.304773,-0.087653,0.054775,0.003246,Safe-no-movement,kaggle,0,1.7304162365017846,0.1034112447947514,0.5647603724322641,1.213242,0.003246,0,0,0,-43.70466516556673,0.8926179797688185
22-3-2023 19:49:4:294713,-1.013592,-2.152104,0.29878,-0.08206,0.0356,0.004578,Safe-no-movement,kaggle,0,2.3975382911811858,0.08956652099975748,0.6671220546794012,2.152104,0.004578,0,0,0,-25.00919060107428,1.186021889176222
22-3-2023 19:49:4:334762,-0.582481,-1.864697,-0.659243,-0.073804,0.03347,0.009638,Safe-no-movement,kaggle,0,2.0617905689519,0.08160981779173386,0.3357477222292857,1.864697,0.009638,0,0,0,-16.41019833817799,0.9499234895870659
22-3-2023 19:49:4:382755,-0.553741,-1.347365,0.049694,-0.070874,0.027078,0.003779,Safe-no-movement,kaggle,0,1.4575633886531316,0.07596461545351231,0.6042271802987684,1.347365,0.003779,0,0,0,-22.328026925185835,0.7870828941869369
22-3-2023 19:49:4:430695,-0.457939,-0.71507,0.461645,-0.055961,0.019621,0.005377,Safe-no-movement,kaggle,0,0.9665140136831954,0.05954434726319535,0.49104937496993617,0.71507,0.005377,0,0,0,-28.28156058420724,0.5517837221432177
22-3-2023 19:49:4:470738,-0.869888,-0.149837,0.873594,-0.061553,0.0103,0.009904,Safe-no-movement,kaggle,0,1.2419028689672151,0.06318980159013003,0.2753888552840197,0.149837,0.009904,0,0,0,-44.462933549586815,0.598334744649131
22-3-2023 19:49:4:518723,-0.390877,0.13757,0.538284,-0.068478,0.031872,0.011769,Safe-no-movement,kaggle,0,0.6793084709357009,0.07644324841998801,0.5625943980315142,0.0,0.011769,0,0,0,-35.12794892127906,0.46343468230973106
22-3-2023 19:49:4:566732,-0.448358,0.693223,0.787371,-0.051699,0.000712,0.00804,Safe-no-movement,kaggle,0,1.140848857445192,0.052325282082373914,0.46154038650949114,0.0,0.00804,0,0,0,-23.1415376893931,0.6104992435556363
22-3-2023 19:49:4:614727,-0.11305,0.664483,-0.036528,-0.062352,0.02335,0.006709,Safe-no-movement,kaggle,0,0.6750201882706917,0.06691789809161672,0.4658286691745004,0.0,0.006709,0,0,0,-9.64112812256417,0.4298320454881118
22-3-2023 19:49:4:654666,-0.53458,0.693223,0.480804,-0.06395,0.015094,0.005643,Safe-no-movement,kaggle,0,0.9987524170408801,0.06594903172147414,0.3237322287701885,0.0,0.005643,0,0,0,-32.36071585148831,0.5164053449638508
22-3-2023 19:49:4:706244,-0.668703,0.185471,1.429247,-0.053564,-0.005413,0.005643,Safe-no-movement,kaggle,0,1.5888077860644438,0.05413174774566216,0.5900553690235637,0.0,0.005643,0,0,0,-24.89037982987414,0.8287792494565454
22-3-2023 19:49:4:751718,-0.189692,0.674063,0.241299,-0.065015,-0.00781,0.004578,Safe-no-movement,kaggle,0,0.7406545687660341,0.06564224561210563,0.8481532172984098,0.0,0.004578,0,0,0,-14.839604568076373,0.5704004663795683
22-3-2023 19:49:4:791762,-0.477099,0.635742,0.337101,-0.056227,-0.00781,0.010171,Safe-no-movement,kaggle,0,0.8633819725741324,0.057670797376141766,0.12272740380809832,0.0,0.010171,0,0,0,-33.545099297683606,0.39947224938492504
22-3-2023 19:49:4:839758,-0.275914,0.310014,0.231718,-0.058624,-0.00488,0.002181,Safe-no-movement,kaggle,0,0.4753214145354699,0.05886717707687367,0.3880605580386625,0.0,0.002181,0,0,0,-35.48422528960713,0.3242068863488488
22-3-2023 19:49:4:879702,-0.457939,-0.561786,-1.377758,-0.065814,-0.029648,-0.003678,Safe-no-movement,kaggle,0,1.5567686867614599,0.0722773421204737,1.08144727222599,0.561786,0.003678,0,0,0,-17.10717117702788,0.9688248590085231
22-3-2023 19:49:4:931493,-0.697444,-1.289883,-1.569365,-0.063417,-0.057345,-0.00208,Safe-no-movement,kaggle,0,2.1478204743530123,0.08552479940929414,0.5910517875915524,1.289883,0.00208,0,0,0,-18.948717501976876,1.062101165841459
